param_name,车型1_14.98,车型2_16.98
/头部(气帘),-,/ 后
4G/5G网络,4G,4G
USB/Type-C数量,排3个/4个,排3个/4个
USB/Type-C最大充电功率,27W,27W
WLTC(L/100km),8.5,8.5
上市,2026.04,2025.03
中控屏幕尺寸,12.3英寸,12.3英寸
中控彩色屏幕,触控液晶屏,触控液晶屏
主/副驾驶座安全,主 / 副,主 / 副
主/副驾驶座电动,主 / 副-,主 / 副-
主动刹车/主动安全系统,-,-
主座椅方式,后 靠背 高低(2向),后 靠背 高低(2向)
内后视镜功能,手动防眩目,手动防眩目
制动类型,电子,电子
副座椅方式,后 靠背,后 靠背
副驾娱乐屏尺寸,12.3英寸,12.3英寸
厂商指导价,14.98,16.98
发动机,2.0T 234马力 L4,2.0T 234马力 L4
发动机型,20A4E,20A4E
发动机布局,横置,横置
变速箱,9挡自动,9挡自动
变速箱类型,自动变速箱(AT),自动变速箱(AT)
后备厢(L),-,-
地图品牌,高德,高德
外后视镜功能,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠
多媒体/充电,USB Type-C,USB Type-C
天窗类型,-,可开启全景天窗
安全带未系提醒,排,排
官方0-100km/h加速(s),-,-
巡航系统,定速巡航,定速巡航
座位数(个),7,7
座椅布局,2-2-3,2-2-3
感应雨刷功能,-,-
手机互联/映射,支持CarPlay 原厂互联/映射,-
手机无线充电功能,-,-
换挡形式,电子式怀挡换挡,电子式怀挡换挡
排座椅功能,-,-
接近角(°),14,14
方向盘位置,手动+后,手动+后
显示屏幕,彩色,彩色
最大净功率(kW),160,160
最大功率(kW),172,172
最大功率转速(rpm),5000-5500,5000-5500
最大扭矩(N·m),360,360
最大扭矩转速(rpm),1500-4000,1500-4000
最大满载(kg),2435,2435
最大马力(Ps),234,234
最高车速(km/h),185,185
每缸(个),4,4
液晶仪表尺寸,12.3英寸,12.3英寸
环保标准,国VI,国VI
电动座椅记忆功能,-,-
离去角(°),20,20
空调温度控制方式,自动空调,自动空调
第二排座椅,后 靠背,后 靠背
经销商参考价,14.98万起,13.98万起
胎压监测功能,胎压显示,胎压显示
能源类型,汽油,汽油
语音分区域唤醒识别,四区域,四区域
超声波雷达数量,6个,6个
车内化妆镜,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯
车内环境氛围灯,-,-
车窗一键降功能,驾驶位,全车
车身结构,5门7座,5门7座
车载智能系统,斑马智行互联系统,斑马智行互联系统
车道保持辅助系统,-,-
车道偏离系统,-,-
车门开启方式,平开门+侧滑门,平开门+侧滑门
辅助泊车入位,-,-
进入功能,排,排
钥匙类型,遥控钥匙 钥匙,遥控钥匙 钥匙
长*宽*高(mm),4900*1885*1756,4900*1885*1756
阻系数(Cd),-,-
驾驶辅助,倒车 360度全景,360度全景
