param_name,车型1_43.98,车型2_36.98,车型3_36.98,车型4_36.98,车型5_36.98,车型6_27.98
/头部(气帘),-,-,-,-,-,-
OTA级,-,-,-,-,-,-
USB/Type-C数量,-,-,-,-,-,-
上市,2025.10,2025.10,2025.10,2025.10,2025.10,2026.01
中控屏幕尺寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸
中控彩色屏幕,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏
主/副驾驶座安全,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副
主/副驾驶座电动,-,-,-,-,-,-
主动刹车/主动安全系统,-,-,-,-,-,-
主座椅方式,-,-,-,-,-,-
内后视镜功能,流媒体,流媒体,流媒体,流媒体,流媒体,流媒体
制动类型,-,电子,电子,电子,电子,电子
副座椅方式,-,-,-,-,-,-
卫星航系统,-,-,-,-,-,-
厂商指导价,43.98,36.98,36.98,36.98,36.98,27.98
发动机,2.0T 177马力 L4,2.0T 177马力 L4,2.0T 177马力 L4,2.0T 177马力 L4,2.0T 177马力 L4,2.0T 150马力 L4
发动机型,-,-,-,-,-,4E20C
变速箱,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动
变速箱类型,自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT)
后备厢(L),-,-,-,-,-,-
后雨刷,-,-,-,-,-,-
外后视镜功能,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜
多媒体/充电,USB,USB,USB,USB,USB,USB
天窗类型,电动天窗,-,-,-,-,-
安全带未系提醒,-,-,-,-,-,-
官方0-100km/h加速(s),-,-,-,-,-,-
尿素罐(L),20,20,20,20,20,20
巡航系统,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航
床类型,-,车尾横置床,车尾横置床 卡座拼床,车尾纵置床,车尾纵置床 卡座拼床,车尾横置床
座位数(个),6,4,5,4,5,4
座椅形式,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-
房车类型,自行式C型,自行式B型,自行式B型,自行式B型,自行式B型,自行式B型
手机无线充电功能,-,-,-,-,-,-
排座椅功能,-,-,-,-,-,-
方向盘位置,-,-,-,-,-,-
最大净功率(kW),-,-,-,-,-,-
最大功率(kW),130,130,130,130,130,110
最大功率转速(rpm),-,-,-,-,-,-
最大扭矩(N·m),420,420,420,420,420,375
最大扭矩转速(rpm),-,-,-,-,-,-
最大满载(kg),-,-,-,-,-,-
最大马力(Ps),177,177,177,177,177,150
最高车速(km/h),-,155,155,155,155,160
每缸(个),4,4,4,4,4,4
液晶仪表尺寸,-,4.2英寸,4.2英寸,4.2英寸,4.2英寸,4.2英寸
清水箱 (L),155,150,150,150,150,150
灰水箱 (L),85,70,70,70,70,70
环保标准,国VI,国VI,国VI,国VI,国VI,国VI
电动座椅记忆功能,-,-,-,-,-,-
空调温度控制方式,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调
第二排座椅,-,-,-,-,-,-
经销商参考价,39.98万起,32.98万起,32.98万起,32.98万起,32.98万起,24.48万起
能源类型,柴油,柴油,柴油,柴油,柴油,柴油
语音识别控制系统,-,-,-,-,-,-
车体结构,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-
车窗一键降功能,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-
车联网,-,-,-,-,-,-
车身结构,客车,客车,客车,客车,客车,客车
车道保持辅助系统,-,-,-,-,-,-
车道偏离系统,-,-,-,-,-,-
车门开启方式,-,-,-,-,-,-
辅助泊车入位,-,-,-,-,-,-
进入功能,-,-,-,-,-,-
遮阳棚类型,手动,手动,手动,手动,手动,手动
钥匙类型,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙
长*宽*高(mm),5990*2420*3081,5940*2062*2770,5940*2062*2770,5940*2062*2770,5940*2062*2770,5180*2062*2770
阻系数(Cd),-,-,-,-,-,-
降桌类型,手动,手动,手动,手动,手动,手动
马桶类型,固定式,固定式,固定式,固定式,固定式,固定式
驾照类型,C1本,C1本,C1本,C1本,C1本,C1本
驾驶辅助,倒车,倒车,倒车,倒车,倒车,倒车
